"internal_id","Award ID","Recipient Name","Period of Performance Start Date","Period of Performance Current End Date","Award Amount","Description","Awarding Agency","Awarding Sub Agency","awarding_agency_id","agency_slug","generated_internal_id","search_company"
350843805,"ZB05","LOCKHEED MARTIN CORPORATION",NA,NA,269639,"CAMERA","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_ZB05_9700_SPM4A109G0002_9700","Lockheed Martin"
350806940,"Z201","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,1074770.37,"SYSTEM ADMINISTRATOR","Department of Defense","Department of the Army",1173,"department-of-defense","CONT_AWD_Z201_9700_W91QUZ04D0004_9700","Lockheed Martin"
350806884,"Z201","LOCKHEED MARTIN INTEGRATED SYSTEMS, LLC",NA,NA,149055.37,"MEDICAL TRAINER EMT-B","Department of Defense","Department of the Army",1173,"department-of-defense","CONT_AWD_Z201_9700_DABK0103D0003_9700","Lockheed Martin"
350779484,"YR32","LOCKHEED MARTIN CORPORATION",NA,NA,22963.78,"IRAC/ERAC","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR32_9700_N0001903G0014_9700","Lockheed Martin"
350779470,"YR31","LOCKHEED MARTIN CORPORATION",NA,NA,22586,"REPAIRS","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR31_9700_N0001903G0014_9700","Lockheed Martin"
350779459,"YR30","LOCKHEED MARTIN CORPORATION",NA,NA,708980.67,"SIE","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR30_9700_N0001903G0014_9700","Lockheed Martin"
350779440,"YR29","LOCKHEED MARTIN CORPORATION",NA,NA,8410093.97,"SIE","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR29_9700_N0001903G0014_9700","Lockheed Martin"
350779364,"YR22","LOCKHEED MARTIN CORPORATION",NA,NA,519067.36,"200412!000065!1700!AC524 !NAVAL AIR SYSTEMS COMMAND       !N0001900G0231  !A!N! !N!YR22         !1C    !20040107!20040731!002232973!002232973!834951691!N!LOCKHEED MARTIN CORPORATION   !1801 STATE RT 17C         !OWEGO               !NY!13827!55882!107!36!OWEGO               !TIOGA                 !NEW YORK  !+000000400000!N!N!000000000000!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !S1 !SERVICES                            !000 !*                             !336411!E! !4! ! !A! ! !99990909!B! ! !A! !D!N!Y!1!001!N!1A!A!N!Z! !  !N!C!N! ! ! !A!A!A!A!000!A!A!N! ! ! !Y!    !N00019!0001! !","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR22_9700_N0001900G0231_9700","Lockheed Martin"
350779336,"YR1H","LOCKHEED MARTIN CORPORATION",NA,NA,144642.75,"GE SURVEIL","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR1H_9700_N0001903G0014_9700","Lockheed Martin"
350779335,"YR1G","LOCKHEED MARTIN CORPORATION",NA,NA,494136.61,"TEST EQUIP","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR1G_9700_N0001903G0014_9700","Lockheed Martin"
350779334,"YR1F","LOCKHEED MARTIN CORPORATION",NA,NA,5500000,"AOE FOR COCKPIT PROCEDURES TRAINER","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR1F_9700_N0001903G0014_9700","Lockheed Martin"
350779333,"YR1E","LOCKHEED MARTIN CORPORATION",NA,NA,247839.04,"FLASH PANEL","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR1E_9700_N0001903G0014_9700","Lockheed Martin"
350779332,"YR1D","LOCKHEED MARTIN CORPORATION",NA,NA,169315.02,"TECH SUP","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR1D_9700_N0001903G0014_9700","Lockheed Martin"
350779293,"YR17","LOCKHEED MARTIN CORPORATION",NA,NA,-13438.08,"200612!535130!1700!N00019!NAVAL AIR SYSTEMS COMMAND       !N0001903G0014  !A!N! !N!YR17         !1D    !20060428!20060930!002232973!002232973!834951691!N!LOCKHEED MARTIN CORPORATION   !1801 STATE ROUTE 17C      !OWEGO               !NY!13827!55882!107!36!OWEGO               !TIOGA                 !NEW YORK  !+000000024000!N!N!000000000000!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !A1C!OTHER AIRCRAFT EQUIPMENT            !282 !MH-60S                        !336413!E! !4! ! !C! ! !99990909!B! ! !A! !D!N!J!1!001!N!1G!Z!N!Z! !  !Y!C!N! ! ! !B!B!A!A!000!A!A!N! ! ! ! !1700!N00019!0001! !","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR17_9700_N0001903G0014_9700","Lockheed Martin"
350779263,"YR15","LOCKHEED MARTIN CORPORATION",NA,NA,182098.04,"200512!456064!1700!N00019!NAVAL AIR SYSTEMS COMMAND       !N0001903G0014  !A!N! !N!YR15         !      !20050218!20050930!002232973!002232973!834951691!N!LOCKHEED MARTIN CORPORATION   !1801 STATE ROUTE 17C      !OWEGO               !NY!13827!55882!107!36!OWEGO               !TIOGA                 !NEW YORK  !+000000060000!N!N!000000000000!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !S1 !SERVICES                            !282 !MH-60S                        !541330!E! !4! ! ! ! ! !20200930!B! ! !A! !D!N!J!1!001!N!1G!Z!N!Z! !  !N!C!N! ! ! !B!B!A!A!000!A!B!N! ! ! ! !1700!N00019!0001! !","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR15_9700_N0001903G0014_9700","Lockheed Martin"
350779229,"YR12","LOCKHEED MARTIN CORPORATION",NA,NA,1426789.78,"200503!071657!1700!N00019!NAVAL AIR SYSTEMS COMMAND       !N0001903G0014  !A!N! !N!YR12         !      !20041101!20050930!002232973!002232973!834951691!N!LOCKHEED MARTIN CORPORATION   !1801 STATE ROUTE 17C      !OWEGO               !NY!13827!55882!107!36!OWEGO               !TIOGA                 !NEW YORK  !+000000088000!N!N!000000000000!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !S1 !SERVICES                            !000 !*                             !541330!E! !4! ! ! ! ! !20200930!B! ! !A! !D!N!Y!1!001!N!1G!Z!N!Z! !  !N!C!N! ! ! !B!B!A!A!000!A!B!N! ! ! ! !1700!N00019!0001! !","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR12_9700_N0001903G0014_9700","Lockheed Martin"
350779213,"YR11","LOCKHEED MARTIN CORPORATION",NA,NA,6010398.47,"200503!071661!1700!N00019!NAVAL AIR SYSTEMS COMMAND       !N0001903G0014  !A!N! !N!YR11         !      !20041029!20050930!002232973!002232973!834951691!N!LOCKHEED MARTIN CORPORATION   !1801 STATE ROUTE 17C      !OWEGO               !NY!13827!55882!107!36!OWEGO               !TIOGA                 !NEW YORK  !+000000278000!N!N!000000000000!AC15!RDTE/AIRCRAFT-ENG/MANUF DEVELOP                   !S1 !SERVICES                            !282 !MH-60S                        !541330!E! !4! ! ! ! ! !20200930!B! ! !A! !D!N!Y!1!001!N!1G!Z!N!Z! !  !N!C!N! ! ! !B!B!A!A!000!A!B!N! ! ! ! !1700!N00019!0001! !","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR11_9700_N0001903G0014_9700","Lockheed Martin"
350779100,"YR02","LOCKHEED MARTIN CORPORATION",NA,NA,86931.79,"IMOP SW UPD","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR02_9700_N0001909G0005_9700","Lockheed Martin"
350779082,"YR01","LOCKHEED MARTIN CORPORATION",NA,NA,1940465.18,"SIE","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR01_9700_N0001909G0005_9700","Lockheed Martin"
350779081,"YR01","LOCKHEED MARTIN CORPORATION",NA,NA,260278.67,"GFE REPAIRS","Department of Defense","Defense Contract Management Agency",1173,"department-of-defense","CONT_AWD_YR01_9700_N0001907D0003_9700","Lockheed Martin"
350774553,"YMT3","LOCKHEED MARTIN CORPORATION",NA,NA,3600,"4512943068!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMT3_9700_FA822408G0001_9700","Lockheed Martin"
350774529,"YMT1","LOCKHEED MARTIN CORPORATION",NA,NA,14132,"4512910198!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMT1_9700_FA822408G0001_9700","Lockheed Martin"
350774394,"YMS9","LOCKHEED MARTIN CORPORATION",NA,NA,0.3,"4512853195!VALVE,BALL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMS9_9700_FA822408G0001_9700","Lockheed Martin"
350774382,"YMS8","LOCKHEED MARTIN CORPORATION",NA,NA,3120,"4512783460!SOCKET,PLUG-IN ELEC","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMS8_9700_FA822408G0001_9700","Lockheed Martin"
350774296,"YMS1","LOCKHEED MARTIN CORPORATION",NA,NA,10060,"4512688209!SEPARATOR,ASSEMBLY","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMS1_9700_FA822408G0001_9700","Lockheed Martin"
350774183,"YMR9","LOCKHEED MARTIN CORPORATION",NA,NA,18552,"4512587833!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMR9_9700_FA822408G0001_9700","Lockheed Martin"
350774132,"YMR4","LOCKHEED MARTIN CORPORATION",NA,NA,19171,"4512519840!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMR4_9700_FA822408G0001_9700","Lockheed Martin"
350773954,"YMQ6","LOCKHEED MARTIN CORPORATION",NA,NA,48612,"4512372576!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMQ6_9700_FA822408G0001_9700","Lockheed Martin"
350773695,"YMP5","LOCKHEED MARTIN CORPORATION",NA,NA,3727,"4512188393!HOSE ASSEMBLY,NONME","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMP5_9700_FA822408G0001_9700","Lockheed Martin"
350773659,"YMP2","LOCKHEED MARTIN CORPORATION",NA,NA,3340,"4512150756!PIN,SHOULDER,HEADED","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMP2_9700_FA822408G0001_9700","Lockheed Martin"
350773636,"YMP0","LOCKHEED MARTIN CORPORATION",NA,NA,9121,"4512097154!SWITCH,ANTENNA UNIT","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMP0_9700_FA822408G0001_9700","Lockheed Martin"
350773434,"YMN7","LOCKHEED MARTIN CORPORATION",NA,NA,5180,"4511914549!SWITCH,ANTENNA UNIT","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMN7_9700_FA822408G0001_9700","Lockheed Martin"
350773422,"YMN6","LOCKHEED MARTIN CORPORATION",NA,NA,3326,"4507835021!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMN6_9700_F4260002G0007_9700","Lockheed Martin"
350773403,"YMN4","LOCKHEED MARTIN CORPORATION",NA,NA,10402,"4512040506!HOSE ASSEMBLY","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMN4_9700_FA822408G0001_9700","Lockheed Martin"
350773395,"YMN3","LOCKHEED MARTIN CORPORATION",NA,NA,13482,"4512036987!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMN3_9700_FA822408G0001_9700","Lockheed Martin"
350773389,"YMN2","LOCKHEED MARTIN CORPORATION",NA,NA,3242,"4512061268!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMN2_9700_FA822408G0001_9700","Lockheed Martin"
350773367,"YMN0","LOCKHEED MARTIN CORPORATION",NA,NA,48914,"4507725943!ABSORBER,","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMN0_9700_F4260002G0007_9700","Lockheed Martin"
350773199,"YMM9","LOCKHEED MARTIN CORPORATION",NA,NA,9288,"4512005210!ABSORBER,RADIO FREQ","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMM9_9700_FA822408G0001_9700","Lockheed Martin"
350773189,"YMM8","LOCKHEED MARTIN CORPORATION",NA,NA,12205,"4507689365!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMM8_9700_F4260002G0007_9700","Lockheed Martin"
350773181,"YMM7","LOCKHEED MARTIN CORPORATION",NA,NA,5180,"4511769391!SWITCH,ANTENNA UNIT","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMM7_9700_FA822408G0001_9700","Lockheed Martin"
350773152,"YMM5","LOCKHEED MARTIN CORPORATION",NA,NA,15000,"4507665884!FILTER,BA","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMM5_9700_F4260002G0007_9700","Lockheed Martin"
350773113,"YMM1","LOCKHEED MARTIN CORPORATION",NA,NA,9753,"4507592334!HOSE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMM1_9700_F4260002G0007_9700","Lockheed Martin"
350773105,"YMM0","LOCKHEED MARTIN CORPORATION",NA,NA,3469,"MISCELLANEOUS VEHICULAR COMPONENTS","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMM0_9700_FA822408G0001_9700","Lockheed Martin"
350772928,"YML8","LOCKHEED MARTIN CORPORATION",NA,NA,2772,"4511385281!MOUNT,RESILIENT,WEA","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML8_9700_FA822408G0001_9700","Lockheed Martin"
350772910,"YML7","LOCKHEED MARTIN CORPORATION",NA,NA,124222,"4507601732!BOOT,DUST","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML7_9700_F4260002G0007_9700","Lockheed Martin"
350772887,"YML5","LOCKHEED MARTIN CORPORATION",NA,NA,2900,"4511356405!ANTENNA","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML5_9700_FA822408G0001_9700","Lockheed Martin"
350772861,"YML3","LOCKHEED MARTIN CORPORATION",NA,NA,5741,"4511424070!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML3_9700_FA822408G0001_9700","Lockheed Martin"
350772858,"YML3","LOCKHEED MARTIN CORPORATION",NA,NA,10876,"4507542634!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML3_9700_F4260002G0007_9700","Lockheed Martin"
350772850,"YML2","LOCKHEED MARTIN CORPORATION",NA,NA,41855,"4507526485!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML2_9700_F4260002G0007_9700","Lockheed Martin"
350772840,"YML1","LOCKHEED MARTIN CORPORATION",NA,NA,2940,"4511594349!STIFFENER,AIRCRAFT","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML1_9700_FA822408G0001_9700","Lockheed Martin"
350772836,"YML1","LOCKHEED MARTIN CORPORATION",NA,NA,3673,"4507527852!SWITCH,TO","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML1_9700_F4260002G0007_9700","Lockheed Martin"
350772823,"YML0","LOCKHEED MARTIN CORPORATION",NA,NA,12489,"4507518322!COUPLER,D","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YML0_9700_F4260002G0007_9700","Lockheed Martin"
350772675,"YMK8","LOCKHEED MARTIN CORPORATION",NA,NA,5743,"4511420839!CONNECTOR,RECEPTACL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMK8_9700_FA822408G0001_9700","Lockheed Martin"
350772653,"YMK6","LOCKHEED MARTIN CORPORATION",NA,NA,27166,"4511149515!DUCT ASSEMBLY,AIR C","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMK6_9700_FA822408G0001_9700","Lockheed Martin"
350772639,"YMK5","LOCKHEED MARTIN CORPORATION",NA,NA,9182,"4507527840!SWITCH,TO","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMK5_9700_F4260002G0007_9700","Lockheed Martin"
350772627,"YMK4","LOCKHEED MARTIN CORPORATION",NA,NA,6953,"4511092195!HOSE ASSEMBLY,NONME","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMK4_9700_FA822408G0001_9700","Lockheed Martin"
350772412,"YMJ7","LOCKHEED MARTIN CORPORATION",NA,NA,4635,"4507421283!VALVE,SOL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMJ7_9700_F4260002G0007_9700","Lockheed Martin"
350772402,"YMJ6","LOCKHEED MARTIN CORPORATION",NA,NA,6075,"4510918237!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMJ6_9700_FA822408G0001_9700","Lockheed Martin"
350772401,"YMJ6","LOCKHEED MARTIN CORPORATION",NA,NA,3673,"4507393915!SWITCH,TO","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMJ6_9700_F4260002G0007_9700","Lockheed Martin"
350772386,"YMJ4","LOCKHEED MARTIN CORPORATION",NA,NA,9286,"4510895974!TUBE AND FITTINGS,M","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMJ4_9700_FA822408G0001_9700","Lockheed Martin"
350772364,"YMJ2","LOCKHEED MARTIN CORPORATION",NA,NA,11941,"MISCELLANEOUS VEHICULAR COMPONENTS","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMJ2_9700_FA822408G0001_9700","Lockheed Martin"
350772351,"YMJ1","LOCKHEED MARTIN CORPORATION",NA,NA,37380,"4507324995!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMJ1_9700_F4260002G0007_9700","Lockheed Martin"
350772156,"YMH7","LOCKHEED MARTIN CORPORATION",NA,NA,87038,"4510640926!ABSORBER,RADIO FREQ","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMH7_9700_FA822408G0001_9700","Lockheed Martin"
350772121,"YMH4","LOCKHEED MARTIN CORPORATION",NA,NA,12609,"4510555142!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMH4_9700_FA822408G0001_9700","Lockheed Martin"
350771920,"YMG9","LOCKHEED MARTIN CORPORATION",NA,NA,7717,"4510497750!NIPPLE,FUEL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG9_9700_FA822408G0001_9700","Lockheed Martin"
350771883,"YMG6","LOCKHEED MARTIN CORPORATION",NA,NA,4110,"4507040647!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG6_9700_F4260002G0007_9700","Lockheed Martin"
350771870,"YMG5","LOCKHEED MARTIN CORPORATION",NA,NA,12842,"4506928223!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG5_9700_F4260002G0007_9700","Lockheed Martin"
350771857,"YMG4","LOCKHEED MARTIN CORPORATION",NA,NA,9298,"4510433340!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG4_9700_FA822408G0001_9700","Lockheed Martin"
350771843,"YMG3","LOCKHEED MARTIN CORPORATION",NA,NA,3638,"4510419806!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG3_9700_FA822408G0001_9700","Lockheed Martin"
350771831,"YMG2","LOCKHEED MARTIN CORPORATION",NA,NA,8947,"4506876029!COUPLER,D","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG2_9700_F4260002G0007_9700","Lockheed Martin"
350771820,"YMG1","LOCKHEED MARTIN CORPORATION",NA,NA,4748,"4510418237!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG1_9700_FA822408G0001_9700","Lockheed Martin"
350771807,"YMG0","LOCKHEED MARTIN CORPORATION",NA,NA,8147,"4510487391!COUPLING,TUBE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG0_9700_FA822408G0001_9700","Lockheed Martin"
350771805,"YMG0","LOCKHEED MARTIN CORPORATION",NA,NA,13769,"4506860951!SUPPORT,S","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMG0_9700_F4260002G0007_9700","Lockheed Martin"
350771625,"YMF9","LOCKHEED MARTIN CORPORATION",NA,NA,10090,"4506835689!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMF9_9700_F4260002G0007_9700","Lockheed Martin"
350771601,"YMF7","LOCKHEED MARTIN CORPORATION",NA,NA,12443,"4510352322!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMF7_9700_FA822408G0001_9700","Lockheed Martin"
350771588,"YMF6","LOCKHEED MARTIN CORPORATION",NA,NA,4238,"4506773337!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMF6_9700_F4260002G0007_9700","Lockheed Martin"
350771567,"YMF4","LOCKHEED MARTIN CORPORATION",NA,NA,3683,"4510299307!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMF4_9700_FA822408G0001_9700","Lockheed Martin"
350771557,"YMF3","LOCKHEED MARTIN CORPORATION",NA,NA,3314,"4510295300!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMF3_9700_FA822408G0001_9700","Lockheed Martin"
350771546,"YMF2","LOCKHEED MARTIN CORPORATION",NA,NA,7509,"4510262873!SWITCH,ANTENNA UNIT","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YMF2_9700_FA822408G0001_9700","Lockheed Martin"
350771294,"YME9","LOCKHEED MARTIN CORPORATION",NA,NA,6892,"4506629146!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME9_9700_F4260002G0007_9700","Lockheed Martin"
350771284,"YME8","LOCKHEED MARTIN CORPORATION",NA,NA,2646,"4506601636!COUPLING","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME8_9700_F4260002G0007_9700","Lockheed Martin"
350771274,"YME7","LOCKHEED MARTIN CORPORATION",NA,NA,40476,"4510183766!ANTENNA","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME7_9700_FA822408G0001_9700","Lockheed Martin"
350771229,"YME4","LOCKHEED MARTIN CORPORATION",NA,NA,4406,"4510161103!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME4_9700_FA822408G0001_9700","Lockheed Martin"
350771227,"YME4","LOCKHEED MARTIN CORPORATION",NA,NA,4190,"4506592134!TUBE ASSE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME4_9700_F4260002G0007_9700","Lockheed Martin"
350771197,"YME2","LOCKHEED MARTIN CORPORATION",NA,NA,71947,"4510144647!ABSORBER,RADIO FREQ","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME2_9700_FA822408G0001_9700","Lockheed Martin"
350771194,"YME2","LOCKHEED MARTIN CORPORATION",NA,NA,2646,"4506526244!COUPLING","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME2_9700_F4260002G0007_9700","Lockheed Martin"
350771182,"YME1","LOCKHEED MARTIN CORPORATION",NA,NA,8057,"4510067890!TUBE ASSEMBLY,METAL","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME1_9700_FA822408G0001_9700","Lockheed Martin"
350771179,"YME1","LOCKHEED MARTIN CORPORATION",NA,NA,9621,"4506515568!ABSORBER,","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME1_9700_F4260002G0007_9700","Lockheed Martin"
350771167,"YME0","LOCKHEED MARTIN CORPORATION",NA,NA,8617,"4510063493!SWITCH,TOGGLE","Department of Defense","Defense Logistics Agency",1173,"department-of-defense","CONT_AWD_YME0_9700_FA822408G0001_9700","Lockheed Martin"
